bioguideId,depictionAttribution,depictionImageUrl,name,partyName,state,district,updateDate,url,birthYear,cosponsoredLegislationCount,cosponsoredLegislationUrl,directOrderName,firstName,honorificName,invertedOrderName,lastName,partyHistory,terms,sponsoredLegislationCount,sponsoredLegislationUrl
H001038,"Image, Congressional Pictorial Directory, 109th.",https://www.congress.gov/img/member/h001038_200.jpg,"Higgins, Brian",Democratic,New York,26,2024-02-06T12:08:52Z,https://api.congress.gov/v3/member/H001038?format=json,1959,3561,https://api.congress.gov/v3/member/H001038/cosponsored-legislation,Brian Higgins,Brian,Mr.,"Higgins, Brian",Higgins,partyAbbreviation:D;partyName:Democratic;startYear:2005;,chamber:House of Representatives;congress:109;district:27;endYear:2007;memberType:Representative;startYear:2005;stateCode:NY;stateName:New York;chamber:House of Representatives;congress:110;district:27;endYear:2009;memberType:Representative;startYear:2007;stateCode:NY;stateName:New York;chamber:House of Representatives;congress:111;district:27;endYear:2011;memberType:Representative;startYear:2009;stateCode:NY;stateName:New York;chamber:House of Representatives;congress:112;district:27;endYear:2013;memberType:Representative;startYear:2011;stateCode:NY;stateName:New York;chamber:House of Representatives;congress:113;district:26;endYear:2015;memberType:Representative;startYear:2013;stateCode:NY;stateName:New York;chamber:House of Representatives;congress:114;district:26;endYear:2017;memberType:Representative;startYear:2015;stateCode:NY;stateName:New York;chamber:House of Representatives;congress:115;district:26;endYear:2019;memberType:Representative;startYear:2017;stateCode:NY;stateName:New York;chamber:House of Representatives;congress:116;district:26;endYear:2021;memberType:Representative;startYear:2019;stateCode:NY;stateName:New York;chamber:House of Representatives;congress:117;district:26;endYear:2023;memberType:Representative;startYear:2021;stateCode:NY;stateName:New York;chamber:House of Representatives;congress:118;district:26;endYear:2024;memberType:Representative;startYear:2023;stateCode:NY;stateName:New York;,132,https://api.congress.gov/v3/member/H001038/sponsored-legislation
C001043,"<a href=""http://www.senate.gov/artandhistory/history/common/generic/Photo_Collection_of_the_Senate_Historical_Office.htm"">Courtesy U.S. Senate Historical Office</a>",https://www.congress.gov/img/member/c001043_200.jpg,"Carnahan, Jean",Democratic,Missouri,0,2024-02-01T16:26:03Z,https://api.congress.gov/v3/member/C001043?format=json,1933,260,https://api.congress.gov/v3/member/C001043/cosponsored-legislation,Jean Carnahan,Jean,Mrs.,"Carnahan, Jean",Carnahan,partyAbbreviation:D;partyName:Democratic;startYear:2001;,chamber:Senate;congress:107;endYear:2002;memberType:Senator;startYear:2001;stateCode:MO;stateName:Missouri;,51,https://api.congress.gov/v3/member/C001043/sponsored-legislation
M000312,Congressional Pictorial Directory,https://www.congress.gov/img/member/117_rp_ma_2_mcgovern_james_200.jpg,"McGovern, James P.",Democratic,Massachusetts,2,2024-01-31T13:45:33Z,https://api.congress.gov/v3/member/M000312?format=json,1959,11128,https://api.congress.gov/v3/member/M000312/cosponsored-legislation,James P. McGovern,JAMES,MISSING,"McGovern, James P.",MCGOVERN,partyAbbreviation:D;partyName:Democratic;startYear:1997;,chamber:House of Representatives;congress:105;district:3;endYear:1999;memberType:Representative;startYear:1997;stateCode:MA;stateName:Massachusetts;chamber:House of Representatives;congress:106;district:3;endYear:2001;memberType:Representative;startYear:1999;stateCode:MA;stateName:Massachusetts;chamber:House of Representatives;congress:107;district:3;endYear:2003;memberType:Representative;startYear:2001;stateCode:MA;stateName:Massachusetts;chamber:House of Representatives;congress:108;district:3;endYear:2005;memberType:Representative;startYear:2003;stateCode:MA;stateName:Massachusetts;chamber:House of Representatives;congress:109;district:3;endYear:2007;memberType:Representative;startYear:2005;stateCode:MA;stateName:Massachusetts;chamber:House of Representatives;congress:110;district:3;endYear:2009;memberType:Representative;startYear:2007;stateCode:MA;stateName:Massachusetts;chamber:House of Representatives;congress:111;district:3;endYear:2011;memberType:Representative;startYear:2009;stateCode:MA;stateName:Massachusetts;chamber:House of Representatives;congress:112;district:3;endYear:2013;memberType:Representative;startYear:2011;stateCode:MA;stateName:Massachusetts;chamber:House of Representatives;congress:113;district:2;endYear:2015;memberType:Representative;startYear:2013;stateCode:MA;stateName:Massachusetts;chamber:House of Representatives;congress:114;district:2;endYear:2017;memberType:Representative;startYear:2015;stateCode:MA;stateName:Massachusetts;chamber:House of Representatives;congress:115;district:2;endYear:2019;memberType:Representative;startYear:2017;stateCode:MA;stateName:Massachusetts;chamber:House of Representatives;congress:116;district:2;endYear:2021;memberType:Representative;startYear:2019;stateCode:MA;stateName:Massachusetts;chamber:House of Representatives;congress:117;district:2;endYear:2023;memberType:Representative;startYear:2021;stateCode:MA;stateName:Massachusetts;chamber:House of Representatives;congress:118;district:2;memberType:Representative;startYear:2023;stateCode:MA;stateName:Massachusetts;,400,https://api.congress.gov/v3/member/M000312/sponsored-legislation
T000474,Image courtesy of the Member,https://www.congress.gov/img/member/t000474_200.jpg,"Torres, Norma J.",Democratic,California,35,2024-01-30T16:04:16Z,https://api.congress.gov/v3/member/T000474?format=json,1965,1427,https://api.congress.gov/v3/member/T000474/cosponsored-legislation,Norma J. Torres,Norma,Mrs.,"Torres, Norma J.",Torres,partyAbbreviation:D;partyName:Democratic;startYear:2015;,chamber:House of Representatives;congress:114;district:35;endYear:2017;memberType:Representative;startYear:2015;stateCode:CA;stateName:California;chamber:House of Representatives;congress:115;district:35;endYear:2019;memberType:Representative;startYear:2017;stateCode:CA;stateName:California;chamber:House of Representatives;congress:116;district:35;endYear:2021;memberType:Representative;startYear:2019;stateCode:CA;stateName:California;chamber:House of Representatives;congress:117;district:35;endYear:2023;memberType:Representative;startYear:2021;stateCode:CA;stateName:California;chamber:House of Representatives;congress:118;district:35;memberType:Representative;startYear:2023;stateCode:CA;stateName:California;,140,https://api.congress.gov/v3/member/T000474/sponsored-legislation
J000292,Image courtesy of the Member,https://www.congress.gov/img/member/j000292_200.jpg,"Johnson, Bill",Republican,Ohio,6,2024-01-22T15:45:34Z,https://api.congress.gov/v3/member/J000292?format=json,1954,2163,https://api.congress.gov/v3/member/J000292/cosponsored-legislation,Bill Johnson,Bill,Mr.,"Johnson, Bill",Johnson,partyAbbreviation:R;partyName:Republican;startYear:2011;,chamber:House of Representatives;congress:112;district:6;endYear:2013;memberType:Representative;startYear:2011;stateCode:OH;stateName:Ohio;chamber:House of Representatives;congress:113;district:6;endYear:2015;memberType:Representative;startYear:2013;stateCode:OH;stateName:Ohio;chamber:House of Representatives;congress:114;district:6;endYear:2017;memberType:Representative;startYear:2015;stateCode:OH;stateName:Ohio;chamber:House of Representatives;congress:115;district:6;endYear:2019;memberType:Representative;startYear:2017;stateCode:OH;stateName:Ohio;chamber:House of Representatives;congress:116;district:6;endYear:2021;memberType:Representative;startYear:2019;stateCode:OH;stateName:Ohio;chamber:House of Representatives;congress:117;district:6;endYear:2023;memberType:Representative;startYear:2021;stateCode:OH;stateName:Ohio;chamber:House of Representatives;congress:118;district:6;endYear:2024;memberType:Representative;startYear:2023;stateCode:OH;stateName:Ohio;,101,https://api.congress.gov/v3/member/J000292/sponsored-legislation
P000595,"<a href=""http://www.senate.gov/artandhistory/history/common/generic/Photo_Collection_of_the_Senate_Historical_Office.htm"">Courtesy U.S. Senate Historical Office</a>",https://www.congress.gov/img/member/p000595_200.jpg,"Peters, Gary C.",Democratic,Michigan,0,2024-01-20T13:42:20Z,https://api.congress.gov/v3/member/P000595?format=json,1958,2988,https://api.congress.gov/v3/member/P000595/cosponsored-legislation,Gary C. Peters,Gary,Mr.,"Peters, Gary C.",Peters,partyAbbreviation:D;partyName:Democratic;startYear:2009;,chamber:House of Representatives;congress:111;district:9;endYear:2011;memberType:Representative;startYear:2009;stateCode:MI;stateName:Michigan;chamber:House of Representatives;congress:112;district:9;endYear:2013;memberType:Representative;startYear:2011;stateCode:MI;stateName:Michigan;chamber:House of Representatives;congress:113;district:14;endYear:2015;memberType:Representative;startYear:2013;stateCode:MI;stateName:Michigan;chamber:Senate;congress:114;endYear:2017;memberType:Senator;startYear:2015;stateCode:MI;stateName:Michigan;chamber:Senate;congress:115;endYear:2019;memberType:Senator;startYear:2017;stateCode:MI;stateName:Michigan;chamber:Senate;congress:116;endYear:2021;memberType:Senator;startYear:2019;stateCode:MI;stateName:Michigan;chamber:Senate;congress:117;endYear:2023;memberType:Senator;startYear:2021;stateCode:MI;stateName:Michigan;chamber:Senate;congress:118;memberType:Senator;startYear:2023;stateCode:MI;stateName:Michigan;,609,https://api.congress.gov/v3/member/P000595/sponsored-legislation
S001172,Image courtesy of the Member,https://www.congress.gov/img/member/s001172_200.jpg,"Smith, Adrian",Republican,Nebraska,3,2024-01-09T16:10:41Z,https://api.congress.gov/v3/member/S001172?format=json,1970,1465,https://api.congress.gov/v3/member/S001172/cosponsored-legislation,Adrian Smith,Adrian,Mr.,"Smith, Adrian",Smith,partyAbbreviation:R;partyName:Republican;startYear:2007;,chamber:House of Representatives;congress:110;district:3;endYear:2009;memberType:Representative;startYear:2007;stateCode:NE;stateName:Nebraska;chamber:House of Representatives;congress:111;district:3;endYear:2011;memberType:Representative;startYear:2009;stateCode:NE;stateName:Nebraska;chamber:House of Representatives;congress:112;district:3;endYear:2013;memberType:Representative;startYear:2011;stateCode:NE;stateName:Nebraska;chamber:House of Representatives;congress:113;district:3;endYear:2015;memberType:Representative;startYear:2013;stateCode:NE;stateName:Nebraska;chamber:House of Representatives;congress:114;district:3;endYear:2017;memberType:Representative;startYear:2015;stateCode:NE;stateName:Nebraska;chamber:House of Representatives;congress:115;district:3;endYear:2019;memberType:Representative;startYear:2017;stateCode:NE;stateName:Nebraska;chamber:House of Representatives;congress:116;district:3;endYear:2021;memberType:Representative;startYear:2019;stateCode:NE;stateName:Nebraska;chamber:House of Representatives;congress:117;district:3;endYear:2023;memberType:Representative;startYear:2021;stateCode:NE;stateName:Nebraska;chamber:House of Representatives;congress:118;district:3;memberType:Representative;startYear:2023;stateCode:NE;stateName:Nebraska;,103,https://api.congress.gov/v3/member/S001172/sponsored-legislation
M001044,Collection of the U.S. House of Representatives,https://www.congress.gov/img/member/m001044_200.jpg,"Mottl, Ronald M.",Democratic,Ohio,23,2024-01-09T16:10:41Z,https://api.congress.gov/v3/member/M001044?format=json,1934,1081,https://api.congress.gov/v3/member/M001044/cosponsored-legislation,Ronald M. Mottl,RONALD,MISSING,"Mottl, Ronald M.",MOTTL,partyAbbreviation:D;partyName:Democratic;startYear:1975;,chamber:House of Representatives;congress:94;district:23;endYear:1977;memberType:Representative;startYear:1975;stateCode:OH;stateName:Ohio;chamber:House of Representatives;congress:95;district:23;endYear:1979;memberType:Representative;startYear:1977;stateCode:OH;stateName:Ohio;chamber:House of Representatives;congress:96;district:23;endYear:1981;memberType:Representative;startYear:1979;stateCode:OH;stateName:Ohio;chamber:House of Representatives;congress:97;district:23;endYear:1983;memberType:Representative;startYear:1981;stateCode:OH;stateName:Ohio;,225,https://api.congress.gov/v3/member/M001044/sponsored-legislation
B001320,Image courtesy of the Senator,https://www.congress.gov/img/member/b001320_200.jpg,"Butler, Laphonza R.",Democratic,California,0,2024-01-09T13:42:13Z,https://api.congress.gov/v3/member/B001320?format=json,1979,124,https://api.congress.gov/v3/member/B001320/cosponsored-legislation,Laphonza R. Butler,Laphonza,Ms.,"Butler, Laphonza R.",Butler,partyAbbreviation:D;partyName:Democratic;startYear:2023;,chamber:Senate;congress:118;memberType:Senator;startYear:2023;stateCode:CA;stateName:California;,3,https://api.congress.gov/v3/member/B001320/sponsored-legislation
R000252,Collection of the U.S. House of Representatives,https://www.congress.gov/img/member/r000252_200.jpg,"Riggs, Frank",Republican,California,1,2024-01-03T17:53:35Z,https://api.congress.gov/v3/member/R000252?format=json,1950,927,https://api.congress.gov/v3/member/R000252/cosponsored-legislation,Frank Riggs,FRANK,MISSING,"Riggs, Frank",RIGGS,partyAbbreviation:R;partyName:Republican;startYear:1991;,chamber:House of Representatives;congress:102;district:1;endYear:1993;memberType:Representative;startYear:1991;stateCode:CA;stateName:California;chamber:House of Representatives;congress:104;district:1;endYear:1997;memberType:Representative;startYear:1995;stateCode:CA;stateName:California;chamber:House of Representatives;congress:105;district:1;endYear:1999;memberType:Representative;startYear:1997;stateCode:CA;stateName:California;,74,https://api.congress.gov/v3/member/R000252/sponsored-legislation
